"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21738","OrangeHRM","chromium","Thu Mar 13 22:57:18 IST 2025","passed","Thu Mar 13 22:57:39 IST 2025","","test.spec.js","",""
"","4815","421 - https://london-heathrow.worlddutyfree.com/en/","chromium","Fri Mar 14 18:27:00 IST 2025","passed","Fri Mar 14 18:27:05 IST 2025","","LoadURL.spec.ts","",""
"","20239","299 - https://santodomingo.shopdutyfree.com/en/","chromium","Fri Mar 14 18:24:55 IST 2025","passed","Fri Mar 14 18:25:15 IST 2025","","LoadURL.spec.ts","",""
"","5931","255 - https://sanjuan.shopdutyfree.com/en/","chromium","Fri Mar 14 18:24:00 IST 2025","passed","Fri Mar 14 18:24:06 IST 2025","","LoadURL.spec.ts","",""
"","4715","514 - https://rio.shopdutyfree.com/en/","chromium","Fri Mar 14 18:28:30 IST 2025","passed","Fri Mar 14 18:28:34 IST 2025","","LoadURL.spec.ts","",""
"","6779","134 - https://sharjah.shopdutyfree.com/en/","chromium","Fri Mar 14 18:21:29 IST 2025","passed","Fri Mar 14 18:21:36 IST 2025","","LoadURL.spec.ts","",""
"","6393","412 - https://liverpool.worlddutyfree.com/en/","chromium","Fri Mar 14 18:26:53 IST 2025","passed","Fri Mar 14 18:26:59 IST 2025","","LoadURL.spec.ts","",""
"","4777","422 - https://london-heathrow.worlddutyfree.com/en/","chromium","Fri Mar 14 18:27:00 IST 2025","passed","Fri Mar 14 18:27:05 IST 2025","","LoadURL.spec.ts","",""
"","5366","402 - https://glasgow.worlddutyfree.com/en/","chromium","Fri Mar 14 18:26:43 IST 2025","passed","Fri Mar 14 18:26:48 IST 2025","","LoadURL.spec.ts","",""
"","5803","366 - https://saltlakecity.shopdutyfree.com/en/","chromium","Fri Mar 14 18:26:05 IST 2025","passed","Fri Mar 14 18:26:11 IST 2025","","LoadURL.spec.ts","",""
"","7200","534 - https://casablanca.shopdutyfree.com/en/","chromium","Fri Mar 14 18:28:48 IST 2025","passed","Fri Mar 14 18:28:55 IST 2025","","LoadURL.spec.ts","",""
"","6193","194 - https://puntadeleste.shopdutyfree.com/en/","chromium","Fri Mar 14 18:22:35 IST 2025","passed","Fri Mar 14 18:22:41 IST 2025","","LoadURL.spec.ts","",""
"","5588","321 - https://minneapolis.shopdutyfree.com/en/","chromium","Fri Mar 14 18:25:20 IST 2025","passed","Fri Mar 14 18:25:26 IST 2025","","LoadURL.spec.ts","",""
